,name,loaning_club,player_value_in_moment_of_transfer,league,year,market_value_in_eur
0,Amad Diallo,AFC Sunderland,15000000,GB2,2022,7000000.0
1,Marquinhos,Norwich City,10000000,GB2,2022,70000000.0
2,Cameron Archer,FC Middlesbrough,8000000,GB2,2022,8000000.0
3,Cameron Archer,Preston North End,500000,GB2,2021,8000000.0
4,Tyler Roberts,Queens Park Rangers,8000000,GB2,2022,4000000.0
5,Isaac Hayden,Norwich City,8000000,GB2,2022,5000000.0
6,Joe Gelhardt,AFC Sunderland,8000000,GB2,2022,8000000.0
7,Liam Delap,Preston North End,7000000,GB2,2022,7000000.0
8,Liam Delap,Stoke City,1000000,GB2,2022,7000000.0
9,Taylor Harwood-Bellis,FC Burnley,7000000,GB2,2022,13000000.0
10,Taylor Harwood-Bellis,Stoke City,3000000,GB2,2021,13000000.0
11,Taylor Harwood-Bellis,Blackburn Rovers,2000000,GB2,2020,13000000.0
12,Zack Steffen,FC Middlesbrough,6000000,GB2,2022,4500000.0
13,Axel Tuanzebe,Stoke City,6000000,GB2,2022,6000000.0
14,Axel Tuanzebe,Aston Villa,1000000,GB2,2018,6000000.0
15,Ian Maatsen,FC Burnley,5000000,GB2,2022,9000000.0
16,Ian Maatsen,Coventry City,-,GB2,2021,9000000.0
17,Ian Maatsen,Charlton Athletic,-,GB3,2020,9000000.0
18,Marvelous Nakamba,Luton Town,5000000,GB2,2022,5000000.0
19,Ethan Laird,Queens Park Rangers,5000000,GB2,2022,5000000.0
20,Ethan Laird,AFC Bournemouth,5000000,GB2,2021,5000000.0
21,Ethan Laird,Swansea City,1000000,GB2,2021,5000000.0
22,Ethan Laird,Milton Keynes Dons,1000000,GB3,2020,5000000.0
23,Jeff Hendrick,FC Reading,5000000,GB2,2022,2500000.0
24,Jeff Hendrick,Queens Park Rangers,7000000,GB2,2021,2500000.0
25,Aaron Connolly,Hull City,5000000,GB2,2022,5000000.0
26,Aaron Connolly,FC Middlesbrough,7000000,GB2,2021,5000000.0
27,Aaron Connolly,Luton Town,-,GB3,2018,5000000.0
28,Henrique Araújo,FC Watford,5000000,GB2,2022,5000000.0
29,Troy Parrott,Preston North End,5000000,GB2,2022,4000000.0
30,Troy Parrott,Milton Keynes Dons,3000000,GB3,2021,4000000.0
31,Troy Parrott,FC Millwall,3000000,GB2,2020,4000000.0
32,Troy Parrott,Ipswich Town,3000000,GB3,2020,4000000.0
33,Jordan Beyer,FC Burnley,4000000,GB2,2022,4000000.0
34,Dimitrios Pelkas,Hull City,4000000,GB2,2022,3500000.0
35,Mamadou Loum,FC Reading,4000000,GB2,2022,3500000.0
36,Ki-Jana Hoever,Stoke City,4000000,GB2,2022,4000000.0
37,Kortney Hause,FC Watford,4000000,GB2,2022,2800000.0
38,Kortney Hause,Aston Villa,1000000,GB2,2018,2800000.0
39,Krystian Bielik,Birmingham City,4000000,GB2,2022,3000000.0
40,Krystian Bielik,Charlton Athletic,2000000,GB3,2018,3000000.0
41,Michael Obafemi,FC Burnley,4000000,GB2,2022,4000000.0
42,Hamza Choudhury,FC Watford,4000000,GB2,2022,5000000.0
43,Hassane Kamara,FC Watford,4000000,GB2,2022,6000000.0
44,Rhys Williams,FC Blackpool,4000000,GB2,2022,3000000.0
45,Rhys Williams,Swansea City,5000000,GB2,2021,3000000.0
46,Tino Anjorin,Huddersfield Town,3000000,GB2,2022,2500000.0
47,Tino Anjorin,Huddersfield Town,3000000,GB2,2021,2500000.0
48,James McAtee,Sheffield United,3000000,GB2,2022,5000000.0
49,Halil Dervisoglu,FC Burnley,3000000,GB2,2022,2500000.0
50,Charlie Cresswell,FC Millwall,3000000,GB2,2022,5000000.0
51,Cody Drameh,Luton Town,3000000,GB2,2022,3000000.0
52,Cody Drameh,Cardiff City,1000000,GB2,2021,3000000.0
53,Tyler Morton,Blackburn Rovers,3000000,GB2,2022,5000000.0
54,Edouard Michut,AFC Sunderland,3000000,GB2,2022,2500000.0
55,Jaden Philogene,Cardiff City,3000000,GB2,2022,2500000.0
56,Jaden Philogene,Stoke City,500000,GB2,2021,2500000.0
57,Ryan Giles,FC Middlesbrough,3000000,GB2,2022,6000000.0
58,Ryan Giles,Blackburn Rovers,2000000,GB2,2021,6000000.0
59,Ryan Giles,Cardiff City,1000000,GB2,2021,6000000.0
60,Ryan Giles,Rotherham United,1000000,GB2,2020,6000000.0
61,Ryan Giles,Coventry City,-,GB2,2020,6000000.0
