id,name,loaning_club,player_value_in_moment_of_transfer,transfer_cost,league,year,market_value_in_eur,delta_value
536835,Amad Diallo,AFC Sunderland,15000000,Wypożyczenie,GB2,2022,13000000,-2000000
668268,Marquinhos,Norwich City,10000000,Wypożyczenie,GB2,2022,12000000,2000000
283514,Alex Mowatt,FC Middlesbrough,10000000,Wypożyczenie,GB2,2022,4000000,-6000000
533662,Cameron Archer,FC Middlesbrough,8000000,Wypożyczenie,GB2,2022,10000000,2000000
533662,Cameron Archer,Preston North End,500000,Wypożyczenie,GB2,2021,10000000,9500000
296986,Tyler Roberts,Queens Park Rangers,8000000,Wypożyczenie,GB2,2022,4000000,-4000000
206225,Isaac Hayden,Norwich City,8000000,Wypożyczenie,GB2,2022,4000000,-4000000
503980,Joe Gelhardt,AFC Sunderland,8000000,Wypożyczenie,GB2,2022,8000000,0
668228,Matheus Martins,FC Watford,7000000,Wypożyczenie,GB2,2022,7000000,0
610849,Liam Delap,Preston North End,7000000,Wypożyczenie,GB2,2022,7000000,0
610849,Liam Delap,Stoke City,1000000,Wypożyczenie,GB2,2022,7000000,6000000
503977,Taylor Harwood-Bellis,FC Burnley,7000000,Wypożyczenie,GB2,2022,15000000,8000000
503977,Taylor Harwood-Bellis,Stoke City,3000000,Wypożyczenie,GB2,2021,15000000,12000000
503977,Taylor Harwood-Bellis,Blackburn Rovers,2000000,Wypożyczenie,GB2,2020,15000000,13000000
607224,Hannibal,Birmingham City,6000000,Wypożyczenie,GB2,2022,8000000,2000000
221624,Zack Steffen,FC Middlesbrough,6000000,Wypożyczenie,GB2,2022,4000000,-2000000
342046,Axel Tuanzebe,Stoke City,6000000,Wypożyczenie,GB2,2022,6000000,0
342046,Axel Tuanzebe,Aston Villa,1000000,Wypożyczenie,GB2,2018,6000000,5000000
485585,Ian Maatsen,FC Burnley,5000000,Wypożyczenie,GB2,2022,9000000,4000000
485585,Ian Maatsen,Coventry City,0,Wypożyczenie,GB2,2021,9000000,9000000
485585,Ian Maatsen,Charlton Athletic,0,Wypożyczenie,GB3,2020,9000000,9000000
475416,Sorba Thomas,Blackburn Rovers,5000000,Wypożyczenie,GB2,2022,5000000,0
324882,Marvelous Nakamba,Luton Town,5000000,Wypożyczenie,GB2,2022,4000000,-1000000
531679,Ethan Laird,Queens Park Rangers,5000000,Wypożyczenie,GB2,2022,5000000,0
531679,Ethan Laird,AFC Bournemouth,5000000,Wypożyczenie,GB2,2021,5000000,0
531679,Ethan Laird,Swansea City,1000000,Wypożyczenie,GB2,2021,5000000,4000000
531679,Ethan Laird,Milton Keynes Dons,1000000,Wypożyczenie,GB3,2020,5000000,4000000
148262,Jeff Hendrick,FC Reading,5000000,Wypożyczenie,GB2,2022,2000000,-3000000
148262,Jeff Hendrick,Queens Park Rangers,7000000,Wypożyczenie,GB2,2021,2000000,-5000000
434207,Aaron Connolly,Hull City,5000000,Wypożyczenie,GB2,2022,5000000,0
434207,Aaron Connolly,FC Middlesbrough,7000000,Wypożyczenie,GB2,2021,5000000,-2000000
434207,Aaron Connolly,Luton Town,0,Wypożyczenie,GB3,2018,5000000,5000000
617267,Henrique Araújo,FC Watford,5000000,Wypożyczenie,GB2,2022,5000000,0
735571,Rodrigo Muniz,FC Middlesbrough,5000000,Wypożyczenie,GB2,2022,5000000,0
552655,Troy Parrott,Preston North End,5000000,Wypożyczenie,GB2,2022,4000000,-1000000
552655,Troy Parrott,Milton Keynes Dons,3000000,Wypożyczenie,GB3,2021,4000000,1000000
552655,Troy Parrott,FC Millwall,3000000,Wypożyczenie,GB2,2020,4000000,1000000
552655,Troy Parrott,Ipswich Town,3000000,Wypożyczenie,GB3,2020,4000000,1000000
403898,Jordan Beyer,FC Burnley,4000000,Wypożyczenie,GB2,2022,10000000,6000000
212832,Dimitrios Pelkas,Hull City,4000000,Wypożyczenie,GB2,2022,3000000,-1000000
364237,Mamadou Loum,FC Reading,4000000,Wypożyczenie,GB2,2022,3000000,-1000000
485583,Ki-Jana Hoever,Stoke City,4000000,Wypożyczenie,GB2,2022,4000000,0
233124,Kortney Hause,FC Watford,4000000,Wypożyczenie,GB2,2022,2000000,-2000000
