name,loaning_club,player_value_in_moment_of_transfer,league,year,market_value_in_eur
Amad Diallo,AFC Sunderland,"15,00 mln €",GB2,2022,7000000.0
Marquinhos,Norwich City,"10,00 mln €",GB2,2022,70000000.0
Cameron Archer,FC Middlesbrough,"8,00 mln €",GB2,2022,8000000.0
Cameron Archer,Preston North End,500 tys. €,GB2,2021,8000000.0
Tyler Roberts,Queens Park Rangers,"8,00 mln €",GB2,2022,4000000.0
Isaac Hayden,Norwich City,"8,00 mln €",GB2,2022,5000000.0
Joe Gelhardt,AFC Sunderland,"8,00 mln €",GB2,2022,8000000.0
Liam Delap,Preston North End,"7,00 mln €",GB2,2022,7000000.0
Liam Delap,Stoke City,"1,50 mln €",GB2,2022,7000000.0
Taylor Harwood-Bellis,FC Burnley,"7,00 mln €",GB2,2022,13000000.0
Taylor Harwood-Bellis,Stoke City,"3,00 mln €",GB2,2021,13000000.0
Taylor Harwood-Bellis,Blackburn Rovers,"2,30 mln €",GB2,2020,13000000.0
Zack Steffen,FC Middlesbrough,"6,00 mln €",GB2,2022,4500000.0
Axel Tuanzebe,Stoke City,"6,00 mln €",GB2,2022,6000000.0
Axel Tuanzebe,Aston Villa,"1,00 mln €",GB2,2018,6000000.0
Ian Maatsen,FC Burnley,"5,00 mln €",GB2,2022,9000000.0
Ian Maatsen,Coventry City,-,GB2,2021,9000000.0
Ian Maatsen,Charlton Athletic,-,GB3,2020,9000000.0
Marvelous Nakamba,Luton Town,"5,00 mln €",GB2,2022,5000000.0
Ethan Laird,Queens Park Rangers,"5,00 mln €",GB2,2022,5000000.0
Ethan Laird,AFC Bournemouth,"5,00 mln €",GB2,2021,5000000.0
Ethan Laird,Swansea City,"1,80 mln €",GB2,2021,5000000.0
Ethan Laird,Milton Keynes Dons,"1,80 mln €",GB3,2020,5000000.0
Jeff Hendrick,FC Reading,"5,00 mln €",GB2,2022,2500000.0
Jeff Hendrick,Queens Park Rangers,"7,00 mln €",GB2,2021,2500000.0
Aaron Connolly,Hull City,"5,00 mln €",GB2,2022,5000000.0
Aaron Connolly,FC Middlesbrough,"7,00 mln €",GB2,2021,5000000.0
Aaron Connolly,Luton Town,-,GB3,2018,5000000.0
Henrique Araújo,FC Watford,"5,00 mln €",GB2,2022,5000000.0
Troy Parrott,Preston North End,"5,00 mln €",GB2,2022,4000000.0
Troy Parrott,Milton Keynes Dons,"3,60 mln €",GB3,2021,4000000.0
Troy Parrott,FC Millwall,"3,60 mln €",GB2,2020,4000000.0
