name,loaning_club,player_value_in_moment_of_transfer,league,year
Amad Diallo,AFC Sunderland,"15,00 mln €",GB2,2022
Marquinhos,Norwich City,"10,00 mln €",GB2,2022
Alex Mowatt,FC Middlesbrough,"10,00 mln €",GB2,2022
Cameron Archer,FC Middlesbrough,"8,00 mln €",GB2,2022
Tyler Roberts,Queens Park Rangers,"8,00 mln €",GB2,2022
Isaac Hayden,Norwich City,"8,00 mln €",GB2,2022
Joe Gelhardt,AFC Sunderland,"8,00 mln €",GB2,2022
Matheus Martins,FC Watford,"7,00 mln €",GB2,2022
Liam Delap,Preston North End,"7,00 mln €",GB2,2022
Taylor Harwood-Bellis,FC Burnley,"7,00 mln €",GB2,2022
Hannibal,Birmingham City,"6,00 mln €",GB2,2022
Zack Steffen,FC Middlesbrough,"6,00 mln €",GB2,2022
Axel Tuanzebe,Stoke City,"6,00 mln €",GB2,2022
Ian Maatsen,FC Burnley,"5,00 mln €",GB2,2022
Sorba Thomas,Blackburn Rovers,"5,00 mln €",GB2,2022
Marvelous Nakamba,Luton Town,"5,00 mln €",GB2,2022
Ethan Laird,Queens Park Rangers,"5,00 mln €",GB2,2022
Jeff Hendrick,FC Reading,"5,00 mln €",GB2,2022
Aaron Connolly,Hull City,"5,00 mln €",GB2,2022
Henrique Araújo,FC Watford,"5,00 mln €",GB2,2022
Rodrigo Muniz,FC Middlesbrough,"5,00 mln €",GB2,2022
Troy Parrott,Preston North End,"5,00 mln €",GB2,2022
Jordan Beyer,FC Burnley,"4,50 mln €",GB2,2022
Dimitrios Pelkas,Hull City,"4,50 mln €",GB2,2022
Mamadou Loum,FC Reading,"4,00 mln €",GB2,2022
Ki-Jana Hoever,Stoke City,"4,00 mln €",GB2,2022
Kortney Hause,FC Watford,"4,00 mln €",GB2,2022
Krystian Bielik,Birmingham City,"4,00 mln €",GB2,2022
Michael Obafemi,FC Burnley,"4,00 mln €",GB2,2022
Hamza Choudhury,FC Watford,"4,00 mln €",GB2,2022
Hassane Kamara,FC Watford,"4,00 mln €",GB2,2022
Rhys Williams,FC Blackpool,"4,00 mln €",GB2,2022
Callum Styles,FC Millwall,"3,50 mln €",GB2,2022
Tino Anjorin,Huddersfield Town,"3,00 mln €",GB2,2022
James McAtee,Sheffield United,"3,00 mln €",GB2,2022
Halil Dervisoglu,FC Burnley,"3,00 mln €",GB2,2022
Charlie Cresswell,FC Millwall,"3,00 mln €",GB2,2022
Cody Drameh,Luton Town,"3,00 mln €",GB2,2022
Malcolm Ebiowei,Hull City,"3,00 mln €",GB2,2022
Tyler Morton,Blackburn Rovers,"3,00 mln €",GB2,2022
Edouard Michut,AFC Sunderland,"3,00 mln €",GB2,2022
Jaden Philogene,Cardiff City,"3,00 mln €",GB2,2022
Ryan Giles,FC Middlesbrough,"3,00 mln €",GB2,2022
Oliver Burke,FC Millwall,"3,00 mln €",GB2,2022
Bersant Celina,Stoke City,"3,00 mln €",GB2,2022
Aaron Ramsey,FC Middlesbrough,"3,00 mln €",GB2,2022
Jamie Shackleton,FC Millwall,"2,50 mln €",GB2,2022
Jonathan Panzo,Coventry City,"2,50 mln €",GB2,2022
Tommy Doyle,Sheffield United,"2,50 mln €",GB2,2022
Tim Iroegbunam,Queens Park Rangers,"2,50 mln €",GB2,2022
Sory Kaba,Cardiff City,"2,50 mln €",GB2,2022
Ben Pearson,Stoke City,"2,50 mln €",GB2,2022
Keinan Davis,FC Watford,"2,50 mln €",GB2,2022
Niels Nkounkou,Cardiff City,"2,20 mln €",GB2,2022
Abdul-Rahman Baba,FC Reading,"2,20 mln €",GB2,2022
Tariqe Fosu,Stoke City,"2,00 mln €",GB2,2022
Ian Poveda,FC Blackpool,"2,00 mln €",GB2,2022
Álvaro Fernandez,Preston North End,"2,00 mln €",GB2,2022
Marc Albrighton,West Bromwich Albion,"2,00 mln €",GB2,2022
Matija Sarkic,Stoke City,"2,00 mln €",GB2,2022
Auston Trusty,Birmingham City,"2,00 mln €",GB2,2022
Charlie Patino,FC Blackpool,"2,00 mln €",GB2,2022
Josh Bowler,FC Blackpool,"2,00 mln €",GB2,2022
Will Smallbone,Stoke City,"2,00 mln €",GB2,2022
Tariqe Fosu,Rotherham United,"2,00 mln €",GB2,2022
Karl Darlow,Hull City,"1,80 mln €",GB2,2022
Nathan Tella,FC Burnley,"1,80 mln €",GB2,2022
Morgan Rogers,FC Blackpool,"1,80 mln €",GB2,2022
Domingos Quina,Rotherham United,"1,80 mln €",GB2,2022
Ciaran Clark,Sheffield United,"1,80 mln €",GB2,2022
Przemyslaw Placheta,Birmingham City,"1,80 mln €",GB2,2022
Danel Sinani,Wigan Athletic,"1,50 mln €",GB2,2022
Jamal Lowe,Queens Park Rangers,"1,50 mln €",GB2,2022
Liam Delap,Stoke City,"1,50 mln €",GB2,2022
Gavin Kilkenny,Stoke City,"1,50 mln €",GB2,2022
Ashley Fletcher,Wigan Athletic,"1,20 mln €",GB2,2022
Anthony Knockaert,Huddersfield Town,"1,20 mln €",GB2,2022
Brooke Norton-Cuffy,Coventry City,"1,20 mln €",GB2,2022
Aaron Ramsey,Norwich City,"1,00 mln €",GB2,2022
Grant Hall,Rotherham United,"1,00 mln €",GB2,2022
Clinton Mola,Blackburn Rovers,"1,00 mln €",GB2,2022
Cesare Casadei,FC Reading,"1,00 mln €",GB2,2022
Theo Corbeanu,FC Blackpool,"1,00 mln €",GB2,2022
Dujon Sterling,Stoke City,"1,00 mln €",GB2,2022
Conor Coventry,Rotherham United,"1,00 mln €",GB2,2022
Joe Lumley,FC Reading,"1,00 mln €",GB2,2022
Reda Khadra,Birmingham City,"1,00 mln €",GB2,2022
Reda Khadra,Sheffield United,"1,00 mln €",GB2,2022
Josh Wilson-Esbrand,Coventry City,"1,00 mln €",GB2,2022
Luke McNally,Coventry City,900 tys. €,GB2,2022
Luke Cundle,Swansea City,800 tys. €,GB2,2022
Christ Tiehi,Wigan Athletic,800 tys. €,GB2,2022
Miguel Azeez,Wigan Athletic,800 tys. €,GB2,2022
George Hirst,Blackburn Rovers,800 tys. €,GB2,2022
Cédric Kipré,Cardiff City,800 tys. €,GB2,2022
Ethan Horvath,Luton Town,800 tys. €,GB2,2022
Leo Fuhr Hjelde,Rotherham United,800 tys. €,GB2,2022
Omar Rekik,Wigan Athletic,800 tys. €,GB2,2022
Scott High,Rotherham United,800 tys. €,GB2,2022
Charlie Goode,FC Blackpool,800 tys. €,GB2,2022
Bailey Wright,Rotherham United,700 tys. €,GB2,2022
Ellis Simms,AFC Sunderland,600 tys. €,GB2,2022
Luke Mbete,Huddersfield Town,600 tys. €,GB2,2022
Rarmani Edmonds-Green,Wigan Athletic,600 tys. €,GB2,2022
Dion Sanderson,Birmingham City,600 tys. €,GB2,2022
Lewis Fiorini,FC Blackpool,600 tys. €,GB2,2022
Callum Doyle,Coventry City,600 tys. €,GB2,2022
Nathan Broadhead,Wigan Athletic,500 tys. €,GB2,2022
Joseph Hungbo,Huddersfield Town,450 tys. €,GB2,2022
Brooke Norton-Cuffy,Rotherham United,400 tys. €,GB2,2022
Taylor Richards,Queens Park Rangers,400 tys. €,GB2,2022
Harvey Vale,Hull City,400 tys. €,GB2,2022
Fin Stevens,Swansea City,400 tys. €,GB2,2022
Matthew Lowton,Huddersfield Town,400 tys. €,GB2,2022
Harry Clarke,Stoke City,350 tys. €,GB2,2022
Matthew Sorinola,Swansea City,350 tys. €,GB2,2022
Jordan Smith,Huddersfield Town,300 tys. €,GB2,2022
Kaine Kesler-Hayden,Huddersfield Town,300 tys. €,GB2,2022
Xavier Simons,Hull City,300 tys. €,GB2,2022
Martyn Waghorn,Huddersfield Town,300 tys. €,GB2,2022
Emmanuel Longelo,Birmingham City,150 tys. €,GB2,2022
Tyrese Fornah,FC Reading,-,GB2,2022
Salah-Eddine Oulad M'Hand,Hull City,-,GB2,2022
Thomas Cannon,Preston North End,-,GB2,2022
Tayo Adaramola,Coventry City,-,GB2,2022
Armstrong Oko-Flex,Swansea City,-,GB2,2022
Shola Shoretire,Bolton Wanderers,"4,00 mln €",GB3,2022
Di'Shon Bernard,FC Portsmouth,"3,50 mln €",GB3,2022
Luke Mbete,Bolton Wanderers,"2,00 mln €",GB3,2022
Tom Edwards,FC Barnsley,"2,00 mln €",GB3,2022
Josh Koroma,FC Portsmouth,"2,00 mln €",GB3,2022
Steven Sessegnon,Charlton Athletic,"1,50 mln €",GB3,2022
Mark McGuinness,Sheffield Wednesday,"1,20 mln €",GB3,2022
Dan N'Lundulu,Cheltenham Town,"1,20 mln €",GB3,2022
Dan N'Lundulu,Bolton Wanderers,"1,20 mln €",GB3,2022
Myles Peart-Harris,Forest Green Rovers,"1,00 mln €",GB3,2022
Dynel Simeu,FC Morecambe,"1,00 mln €",GB3,2022
Lewis Bate,Oxford United,"1,00 mln €",GB3,2022
Louie Barry,Milton Keynes Dons,"1,00 mln €",GB3,2022
Conor Bradley,Bolton Wanderers,"1,00 mln €",GB3,2022
Sam Cosgrove,Plymouth Argyle,"1,00 mln €",GB3,2022
Morgan Whittaker,Plymouth Argyle,"1,00 mln €",GB3,2022
Tashan Oakley-Boothe,Lincoln City,900 tys. €,GB3,2022
George Hirst,Ipswich Town,800 tys. €,GB3,2022
Taylor Moore,Shrewsbury Town,800 tys. €,GB3,2022
Henry Lawrence,Milton Keynes Dons,800 tys. €,GB3,2022
Tyreece John-Jules,Ipswich Town,800 tys. €,GB3,2022
Rekeem Harper,Exeter City,800 tys. €,GB3,2022
Josh Martin,FC Barnsley,800 tys. €,GB3,2022
Slobodan Tedic,FC Barnsley,750 tys. €,GB3,2022
Gavin Kilkenny,Charlton Athletic,700 tys. €,GB3,2022
Alex Mighten,Sheffield Wednesday,600 tys. €,GB3,2022
Luke Plange,Lincoln City,600 tys. €,GB3,2022
Harvey White,Derby County,600 tys. €,GB3,2022
Aden Flint,Sheffield Wednesday,600 tys. €,GB3,2022
